id;datum;fallzahl;neue_faelle;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
4510;2024-04-09;;;;1,1;;;
4507;2024-04-08;1460412;34;6211;0,9;59,1;;
4504;2024-04-07;1460378;;6190;0,9;42,6;;0,3
4501;2024-04-06;1460378;;6190;0,9;21,4;;0,3
4498;2024-04-05;1460378;;6190;0,9;'-0,2';0,3;0,4
4495;2024-04-04;1460378;;6190;0,8;'-19,6';0,3;0,4
4492;2024-04-03;1460378;;6190;0,7;'-40,4';0,3;0,4
4489;2024-04-02;1460378;20;6190;0,4;'-47,0';0,2;0,3
4486;2024-04-01;1460358;;6189;0,5;'-48,4';0,2;0,3
4483;2024-03-31;1460358;;6189;0,5;'-51,5';0,2;0,3
4480;2024-03-30;1460358;;6189;0,5;'-51,0';0,2;0,3
4477;2024-03-29;1460358;;6189;0,5;'-48,7';0,2;0,3
4474;2024-03-28;1460358;;6189;0,4;'-43,7';0,1;0,3
4471;2024-03-27;1460358;;6189;0,5;'-34,5';0,1;0,3
4468;2024-03-26;1460358;;6189;0,7;'-26,9';0,3;0,3
4465;2024-03-25;1460358;;6189;0,8;'-18,3';0,3;0,5
4462;2024-03-24;;;;0,8;'-9,6';0,3;0,4
4459;2024-03-23;;;;0,8;'-0,1';0,3;0,4
4456;2024-03-22;;;;0,9;10,5;0,3;0,5
4453;2024-03-21;1460331;;6186;1,2;18,0;0,5;0,3
4450;2024-03-20;;;;1,1;18,8;0,5;0,3
4447;2024-03-19;;;;1,3;19,7;0,6;0,4
4444;2024-03-18;;;;1,5;17,2;0,7;0,5
4441;2024-03-17;;;;1,5;9,8;0,7;0,6
4438;2024-03-16;;;;1,5;1,7;0,7;0,6
4435;2024-03-15;;;;1,3;'-5,9';0,7;0,6
4432;2024-03-14;;;;1,1;'-11,1';0,5;0,6
4429;2024-03-13;;;;1,2;'-11,8';0,6;0,8
4426;2024-03-12;;;;1,0;'-13,5';0,5;0,6
4423;2024-03-11;;;;0,9;'-14,0';0,4;0,8
4420;2024-03-10;;;;0,9;'-18,7';0,4;0,5
4417;2024-03-09;;;;1,0;'-21,2';0,4;0,5
4414;2024-03-08;;;;1,1;'-22,0';0,4;0,6
4411;2024-03-07;;;;1,2;'-27,8';0,4;0,3
4408;2024-03-06;1460248;;6183;1,3;'-33,6';0,4;0,3
4405;2024-03-05;1460248;;6183;1,3;'-35,7';0,3;0,5
4402;2024-03-04;1460248;47;6183;1,2;'-37,0';0,3;0,4
4399;2024-03-03;1460201;;6181;1,2;'-36,2';0,3;0,3
4396;2024-03-02;1460201;;6181;1,2;'-34,4';0,3;0,4
4393;2024-03-01;1460201;;6181;1,3;'-31,5';0,4;0,6
4390;2024-02-29;1460201;;6181;1,2;'-28,2';0,4;0,9
4387;2024-02-28;1460201;;6181;1,3;'-23,8';0,4;0,8
4384;2024-02-27;1460201;;6181;1,4;'-22,5';0,4;0,8
4381;2024-02-26;1460201;51;6181;1,8;'-21,2';0,7;0,9
4378;2024-02-25;1460150;;6179;1,8;'-22,1';0,7;1,0
4375;2024-02-24;;;;1,8;'-21,4';0,7;0,9
4372;2024-02-23;;;;2,1;'-19,5';0,9;0,9
4369;2024-02-22;;;;2,4;'-20,7';1,1;0,9
4366;2024-02-21;;;;2,2;'-24,1';1,0;0,9
4363;2024-02-20;;;;2,4;'-24,7';1,2;1,4
4360;2024-02-19;;;;2,4;'-24,7';1,2;1,4
4357;2024-02-18;;;;2,4;'-25,0';1,2;1,1
4354;2024-02-17;;;;2,4;'-24,8';1,2;1,3
4351;2024-02-16;;;;2,4;'-23,4';1,2;1,1
4348;2024-02-15;;;;2,4;'-19,0';1,1;1,0
4345;2024-02-14;;;;2,9;'-14,1';1,3;1,1
4342;2024-02-13;;;;3,0;'-12,5';1,3;1,1
4339;2024-02-12;;;;3,1;'-14,4';1,5;1,2
4336;2024-02-11;;;;3,1;'-16,9';1,4;1,3
4333;2024-02-10;;;;3,1;'-17,4';1,4;1,1
4330;2024-02-09;;;;3,4;'-16,9';1,8;1,3
4327;2024-02-08;;;;3,8;'-19,2';2,1;1,5
4324;2024-02-07;;;;3,7;'-22,4';2,2;1,7
4321;2024-02-06;;;;3,7;'-25,6';2,2;1,5
4318;2024-02-05;;;;3,9;'-27,1';2,4;2,4
4315;2024-02-04;;;;4,1;'-29,3';2,4;2,8
4312;2024-02-03;;;;4,1;'-30,3';2,4;2,9
4309;2024-02-02;;;;3,6;'-30,0';2,0;2,7
4306;2024-02-01;;;;3,6;'-27,7';1,7;2,8
4303;2024-01-31;;;;3,9;'-24,8';1,5;2,7
4300;2024-01-30;;;;4,6;'-22,2';1,7;2,7
4297;2024-01-29;;;;4,9;'-21,8';1,9;2,7
4294;2024-01-28;1459616;;6150;4,8;'-22,0';1,8;2,8
4291;2024-01-27;1459616;;6150;4,9;'-20,7';1,8;2,8
4288;2024-01-26;1459616;;6150;5,5;'-18,1';2,1;2,4
4285;2024-01-25;1459616;;6150;5,8;'-18,0';2,6;3,1
4282;2024-01-24;1459616;;6150;6,3;'-19,8';3,0;3,2
4279;2024-01-23;1459616;;6150;6,3;'-24,6';3,2;3,6
4276;2024-01-22;1459616;257;6150;6,8;'-35,3';3,0;3,8
4273;2024-01-21;1459359;;6134;6,9;'-37,5';3,0;4,3
4270;2024-01-20;1459359;;6134;6,9;'-37,6';3,1;4,7
4267;2024-01-19;1459359;;6134;6,9;'-36,2';3,0;4,8
4264;2024-01-18;1459359;;6134;7,1;'-35,9';2,9;4,8
4261;2024-01-17;1459359;;6134;7,3;'-36,9';3,1;4,3
4258;2024-01-16;1459359;;6134;7,8;'-46,4';3,2;4,8
4255;2024-01-15;1459359;286;6134;8,2;'-44,9';3,5;4,6
4252;2024-01-14;1459073;;6111;8,2;'-42,4';3,4;5,7
4249;2024-01-13;1459073;;6111;8,1;'-38,8';3,4;5,2
4246;2024-01-12;1459073;;6111;8,9;'-34,3';3,6;5,1
4243;2024-01-11;1459073;;6111;9,9;'-30,7';3,6;5,0
4240;2024-01-10;1459073;;6111;11,6;'-27,4';4,3;5,2
4237;2024-01-09;1459073;;6111;15,7;'-19,1';6,5;5,5
4231;2024-01-08;1459073;382;6111;13,4;'-22,2';5,5;6,4
4234;2024-01-08;1459073;;6111;13,4;'-22,2';5,5;6,4
4228;2024-01-07;1458691;;6075;13,4;'-32,9';5,5;6,7
4225;2024-01-06;1458691;;6075;13,4;'-38,5';5,5;7,4
4222;2024-01-05;1458691;;6075;15,0;'-40,2';6,4;7,8
4219;2024-01-04;1458691;;6075;17,0;'-40,8';7,7;8,6
4216;2024-01-03;1458691;;6075;26,2;'-42,9';12,1;8,5
4213;2024-01-02;1458691;193;6075;20,6;'-47,6';9,4;9,1
4210;2024-01-01;1458498;;6058;20,6;'-47,4';9,4;9,8
4207;2023-12-31;1458498;;6058;20,6;'-44,7';9,4;11,0
4204;2023-12-30;1458498;;6058;20,6;'-41,2';9,4;11,1
4201;2023-12-29;1458498;1882;6058;21,9;'-36,9';9,8;10,0
4198;2023-12-28;1456616;;6020;22,7;'-33,6';9,7;10,9
4195;2023-12-27;1456616;;6020;16,5;'-28,5';6,3;10,1
4192;2023-12-26;1456616;;6020;26,0;'-21,0';10,1;10,7
4189;2023-12-25;1456616;;6020;40,3;'-14,8';15,8;10,6
4186;2023-12-24;1456616;;6020;40,3;'-11,7';15,8;10,9
4183;2023-12-23;1456616;;6020;40,3;'-8,1';15,8;10,3
4180;2023-12-22;1456616;;6020;42,1;'-3,9';16,4;10,2
4177;2023-12-21;1456616;;6020;48,0;2,3;18,7;10,5
4174;2023-12-20;1456616;;6020;53,2;6,7;19,2;11,8
4171;2023-12-19;1456616;;6020;53,7;10,8;18,9;13,7
4168;2023-12-18;1456616;1979;6020;51,6;15,0;17,8;13,0
4165;2023-12-17;1454637;;5989;51,6;19,8;17,8;13,4
4162;2023-12-16;1454637;;5989;51,6;24,1;17,8;13,6
4159;2023-12-15;1454637;;5989;55,6;28,0;19,1;14,6
4156;2023-12-14;1454637;;5989;52,3;27,8;18,2;13,5
4153;2023-12-13;1454637;;5989;53,8;29,3;19,6;13,2
4150;2023-12-12;1454637;;5989;53,4;28,2;20,7;13,5
4147;2023-12-11;1454637;1870;5989;50,8;24,6;19,9;12,7
4144;2023-12-10;1452767;;5977;50,8;20,6;19,9;13,4
4141;2023-12-09;1452767;;5977;50,8;15,0;19,9;12,5
4138;2023-12-08;1452767;;5977;45,3;8,0;17,9;13,0
4135;2023-12-07;1452767;;5977;44,7;4,6;17,0;11,9
4132;2023-12-06;1452767;;5977;39,5;0,2;14,7;10,6
4129;2023-12-05;1452767;;5977;37,4;'-0,2';12,9;11,3
4126;2023-12-04;1452767;1327;5977;37,0;1,8;12,7;10,0
4123;2023-12-03;1451440;;5960;37,0;4,1;12,7;9,5
4120;2023-12-02;1451440;;5960;37,0;6,1;12,7;8,9
4117;2023-12-01;1451440;;5960;38,0;7,6;13,3;9,4
4114;2023-11-30;1451440;;5960;36,1;8,4;12,9;10,1
4111;2023-11-29;1451440;;5960;36,1;10,8;13,1;9,5
4108;2023-11-28;1451440;;5960;37,4;11,3;14,2;8,8
4105;2023-11-27;1451440;1401;5960;38,0;11,1;13,8;8,8
4102;2023-11-26;1450039;;5938;38,0;11,5;13,8;7,7
4099;2023-11-25;1450039;;5938;38,0;11,2;13,8;7,3
4096;2023-11-24;1450039;;5938;36,7;10,3;13,0;7,0
4093;2023-11-23;1450039;;5938;38,0;9,3;13,3;7,3
