id;datum;mitte;friedrichshain_kreuzberg;pankow;charlottenburg_wilmersdorf;spandau;steglitz_zehlendorf;tempelhof_schoeneberg;neukoelln;treptow_koepenick;marzahn_hellersdorf;lichtenberg;reinickendorf
3155;2023-01-18;51;;14;26;37;24;39;;19;29;32;24
3152;2023-01-17;41;24;56;31;34;49;57;43;34;39;51;36
3149;2023-01-16;98;46;86;68;38;56;79;39;61;54;60;24
3146;2023-01-15;;;;;;;;;;;;
3143;2023-01-14;;;;;;;;;;;;12
3140;2023-01-13;30;30;50;32;23;28;31;34;33;31;18;17
3137;2023-01-12;59;36;79;41;27;43;41;48;43;25;21;28
3134;2023-01-11;83;70;56;46;41;59;54;40;49;66;74;34
3131;2023-01-10;56;31;79;31;45;48;50;40;57;62;32;45
3128;2023-01-09;97;81;133;111;71;85;120;82;78;58;105;83
3125;2023-01-08;;;;;;;;;;;;
3122;2023-01-07;;;;;;;;2;;;;
3119;2023-01-06;85;37;93;36;31;44;47;60;65;101;42;42
3116;2023-01-05;96;75;98;52;56;73;81;51;60;138;72;59
3113;2023-01-04;88;55;122;59;85;105;96;79;84;134;81;69
3110;2023-01-03;139;70;149;98;73;126;125;81;54;130;93;89
3107;2023-01-02;175;110;172;110;136;133;151;114;121;25;137;76
3104;2023-01-01;;;;;;;;;;;;
3101;2022-12-31;;;;;;1;;2;;;;
3098;2022-12-30;91;71;142;63;56;109;103;75;88;147;76;45
3095;2022-12-29;112;54;186;119;101;169;130;84;109;128;116;83
3092;2022-12-28;172;130;171;122;113;167;129;95;135;150;143;119
3089;2022-12-27;444;158;332;192;256;184;349;228;154;225;257;156
3086;2022-12-26;;;;;;;;2;;;;
3083;2022-12-25;;;;;;;;1;;;;
3080;2022-12-24;;;;;;;2;;;;;
3077;2022-12-23;181;132;223;93;106;102;153;125;94;107;122;86
3074;2022-12-22;179;132;210;141;97;163;147;161;92;132;148;129
3071;2022-12-21;208;119;238;217;141;146;183;155;139;60;140;109
3068;2022-12-20;554;169;285;236;142;206;198;181;137;103;232;168
3065;2022-12-19;128;160;272;166;228;230;303;232;207;137;234;124
3062;2022-12-18;2;;;;;;;1;;;;
3059;2022-12-17;;;;;;1;1;2;;;;17
3056;2022-12-16;135;101;183;99;113;185;191;93;106;124;143;99
3053;2022-12-15;182;115;322;76;150;173;109;133;176;212;167;162
3050;2022-12-14;270;137;337;185;146;133;262;190;121;184;221;118
3047;2022-12-13;147;287;312;145;133;172;218;175;169;215;177;139
3044;2022-12-12;298;115;164;241;275;280;352;270;166;135;202;111
3041;2022-12-11;;;;;;1;;;;;;
3038;2022-12-10;;;;;;1;;;1;;;27
3035;2022-12-09;134;142;213;39;153;122;163;104;63;257;99;58
3032;2022-12-08;157;43;180;132;118;160;136;150;115;43;134;121
3029;2022-12-07;175;72;227;115;208;130;140;150;149;154;137;119
3026;2022-12-06;179;91;277;143;25;213;187;129;152;237;197;115
3023;2022-12-05;239;150;307;170;190;211;294;214;214;55;191;84
3020;2022-12-04;;6;;;;;;;;;;
3017;2022-12-03;;14;;;;2;;;1;;;
3014;2022-12-02;123;109;176;102;109;134;196;117;132;84;110;87
3011;2022-12-01;151;90;198;150;98;156;113;117;107;101;103;72
3008;2022-11-30;183;113;203;149;120;146;124;97;197;95;93;111
3005;2022-11-29;194;137;252;135;120;135;205;159;145;178;145;109
3002;2022-11-28;214;149;306;151;212;224;254;183;183;157;188;107
2999;2022-11-27;1;1;;;;;;;;;;
2996;2022-11-26;2;17;;;;;;;;;;
2993;2022-11-25;74;93;136;81;61;106;131;72;82;120;59;47
2990;2022-11-24;129;70;131;95;85;100;104;103;93;106;104;43
2987;2022-11-23;106;89;198;86;71;121;130;106;95;43;99;60
2984;2022-11-22;86;71;156;148;56;83;113;85;89;45;120;94
2981;2022-11-21;163;125;209;95;124;153;166;147;141;84;119;75
2978;2022-11-20;1;2;;;;;;3;;;;
2975;2022-11-19;;25;;;;;;;;;;
2972;2022-11-18;93;63;118;47;46;103;180;75;86;77;106;37
2969;2022-11-17;89;56;121;67;42;142;86;73;67;122;63;64
2966;2022-11-16;85;73;110;82;60;98;3;67;107;73;76;58
2963;2022-11-15;133;78;157;106;75;82;166;124;116;95;127;88
2960;2022-11-14;157;88;207;96;119;174;155;152;169;103;155;69
2957;2022-11-13;2;5;;;;;1;;;;;
2954;2022-11-12;5;29;;;;;;;;;;
2951;2022-11-11;57;72;111;65;56;84;90;78;58;105;56;60
2948;2022-11-10;88;60;111;89;70;70;72;85;85;144;106;70
2945;2022-11-09;116;78;157;91;71;103;153;108;136;134;139;78
2942;2022-11-08;145;97;188;121;98;130;122;106;135;70;179;137
2939;2022-11-07;159;72;268;140;111;136;198;169;170;253;186;123
2936;2022-11-06;2;21;;;;;;;;;;
2933;2022-11-05;1;64;;1;;;;;;;;
2930;2022-11-04;92;57;135;80;69;69;127;50;75;221;98;78
2927;2022-11-03;107;84;141;81;87;113;111;98;135;118;100;64
2924;2022-11-02;149;80;185;142;115;103;124;105;125;136;139;151
2921;2022-11-01;189;105;277;162;130;158;173;141;181;98;169;165
2918;2022-10-31;231;137;362;179;208;255;289;191;209;208;208;190
2915;2022-10-30;;;;;;1;;11;;;;
2912;2022-10-29;2;62;;;;;1;17;;;;
2909;2022-10-28;160;116;180;90;96;148;136;113;151;126;134;108
2906;2022-10-27;179;104;223;155;120;164;135;154;157;253;229;125
2903;2022-10-26;222;127;291;192;153;256;236;126;239;308;189;148
2900;2022-10-25;220;196;344;243;157;260;233;182;279;260;269;250
